topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15
0.014309142	0.014603424	0.014808547	0.014648594	0.014593183	0.016220793	0.0145581635	0.01514618	0.015090375	0.015082478	0.014693126	0.014134212	0.23175657	0.56161386	0.0143634	0.01437794
0.0051404955	0.92061037	0.0053199045	0.005262442	0.005242536	0.0058272514	0.005229955	0.005441197	0.0054211514	0.0054183127	0.0052784407	0.005077652	0.0052198735	0.0051852223	0.0051599867	0.00516521
0.0070865164	0.0072322576	0.007333842	0.007254627	0.13495357	0.008033247	0.7628073	0.007501055	0.007473417	0.0074695046	0.007276682	0.006999884	0.007195945	0.007148173	0.0071133873	0.007120587
0.01920181	0.019596715	0.019871969	0.019657327	0.01958297	0.021767095	0.019535977	0.020325052	0.020250173	0.020239566	0.70356834	0.018967066	0.019498315	0.019368878	0.019274618	0.019294126
0.0081099095	0.008276699	0.008392956	0.008302305	0.008270895	0.009193377	0.008251046	0.008584315	0.008552686	0.00854821	0.00832754	0.008010768	0.008235141	0.008180473	0.008140662	0.874623
0.0047094156	0.004806269	0.004873779	0.004821135	0.004802899	0.29189917	0.004791374	0.004984902	0.0049665337	0.0049639344	0.004835792	0.004651842	0.5142656	0.0047503915	0.004727273	0.13114975
0.0033181186	0.003386359	0.003433924	0.003396833	0.0033839836	0.003761407	0.0033758634	0.0035122172	0.94886804	0.0034974453	0.00340716	0.003277554	0.0033693553	0.0033469882	0.0033306996	0.0033340715
0.011403515	0.01163804	0.011801511	0.011674037	0.011629879	0.012926987	0.0116019705	0.012070582	0.012026113	0.82426625	0.011709526	0.011264106	0.011579604	0.011502734	0.011446755	0.011458347
0.004709411	0.004806266	0.004873774	0.004821131	0.004802895	0.0053385734	0.0047913687	0.7802599	0.00496653	0.004963934	0.0048357886	0.0046518384	0.1519689	0.0047503863	0.004727269	0.004732053
0.0062924754	0.006421892	0.0065120887	0.0064417487	0.90281475	0.0071331267	0.0064019826	0.0066605643	0.0066360235	0.006632552	0.006461334	0.006215549	0.006389641	0.0063472237	0.0063163354	0.0063227275
0.029178763	0.029778853	0.030197129	0.029870963	0.02975797	0.03307693	0.54927194	0.030885626	0.030771825	0.030755715	0.02996177	0.028822051	0.029629335	0.029432638	0.029289402	0.029319048
