topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19
0.005058724	0.0053185187	0.0051134657	0.005423019	0.004952939	0.0051510604	0.0051138503	0.0049625784	0.0051711467	0.005052836	0.0050896625	0.005109813	0.0054557244	0.0051511335	0.0052436762	0.90240276	0.005169147	0.0050838417	0.005040364	0.004935782
0.0022645872	0.31984556	0.0022890929	0.0024276674	0.14530835	0.0023059226	0.002289265	0.0022215466	0.0023149143	0.0022619513	0.0022784371	0.0022874577	0.3861496	0.0023059552	0.0023473827	0.0022716618	0.002314019	0.0022758313	0.1120313	0.0022095507
0.0011894932	0.0012505805	0.001202365	0.0012751526	0.0011646193	0.001211205	0.5268761	0.0011668858	0.001215928	0.0011881087	0.0011967681	0.0012015062	0.0012828427	0.0012112221	0.0012329824	0.0011932093	0.0012154578	0.0011953993	0.26589495	0.18663527
0.004131811	0.0043440033	0.0041765226	0.004429356	0.004045409	0.004207229	0.0041768365	0.004053282	0.0042236345	0.004127002	0.004157081	0.004173539	0.004456069	0.0042072884	0.7075458	0.0041447193	0.0042220014	0.0041523264	0.21699463	0.0040313955
0.011518803	0.012110361	0.011643452	0.01234831	0.5235229	0.011729056	0.011644327	0.011299878	0.011774792	0.011505396	0.26555875	0.011635135	0.0124227805	0.011729222	0.011939943	0.01155479	0.011770239	0.011575997	0.011476997	0.011238862
0.009175412	0.009646622	0.009274702	0.009836164	0.008983542	0.009342891	0.009275399	0.009001025	0.009379323	0.009164733	0.009231528	0.009268077	0.009895484	0.823119	0.009510875	0.009204078	0.009375696	0.00922097	0.009142111	0.008952422
0.9743406	0.001398068	0.0013441662	0.0014255379	0.0013019689	0.0013540487	0.0013442673	0.0013045027	0.0013593286	0.0013282286	0.0013379091	0.001343206	0.0014341351	0.0013540679	0.0013783944	0.0013339308	0.0013588031	0.001336379	0.00132495	0.0012974588
0.007624233	0.008015782	0.0077067367	0.0081732785	0.8527234	0.007763398	0.0077073164	0.0074793273	0.0077936705	0.007615359	0.007670862	0.007701232	0.008222571	0.007763508	0.007902983	0.0076480517	0.0077906568	0.007662089	0.007596561	0.0074389414
0.011518706	0.0121102575	0.011643352	0.012348205	0.011277833	0.011728955	0.011644227	0.7775163	0.011774692	0.011505298	0.011589153	0.011635035	0.012422675	0.011729122	0.011939841	0.011554691	0.0117701385	0.011575898	0.0114768995	0.011238766
0.0045484845	0.004782075	0.0045977044	0.91256	0.004453369	0.004631507	0.0045980504	0.0044620363	0.0046495674	0.00454319	0.0045763026	0.0045944205	0.004905442	0.0046315733	0.0047147814	0.004562694	0.00464777	0.0045710686	0.004531976	0.0044379425
