topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69
0.0023171399	0.002356471	0.002356796	0.002348182	0.0023642424	0.0023252289	0.0023175643	0.0023251586	0.002364896	0.8390625	0.0023332578	0.0023483117	0.0024346905	0.0023017917	0.002356186	0.0023485422	0.0023019584	0.0023175443	0.0023019582	0.0022941034	0.0023175231	0.0023242582	0.0023018594	0.0023251236	0.0023171592	0.0023097142	0.002309834	0.0023730316	0.0023174325	0.0023175797	0.002307666	0.002309535	0.002332623	0.0023404039	0.00231743	0.0023559104	0.002356257	0.0023174032	0.002332996	0.0022941034	0.0023797282	0.0023093564	0.0023158554	0.0023018594	0.0023017917	0.002333056	0.0022941034	0.0023565907	0.0024108929	0.0023563756	0.002394743	0.0023352343	0.0023406725	0.0023484004	0.0023250892	0.0023330697	0.0023175834	0.002325215	0.0023095799	0.002332945	0.0023096127	0.0023637884	0.0023562913	0.0023247893	0.0023171068	0.00233483	0.0023331305	0.002301916	0.0023569856	0.0023250596
0.00034637723	0.0003522566	0.00035230521	0.00035101754	0.00035341835	0.0003475864	0.00034644068	0.0003475759	0.00035351602	0.0003510306	0.0003487866	0.39070323	0.00036394928	0.00034408292	0.00035221403	0.0003510714	0.0691207	0.00034643768	0.0003441078	0.0003429336	0.00034643454	0.0003474413	0.00034409302	0.0003475707	0.00034638014	0.0003452672	0.0003452851	0.22329316	0.00034642097	0.00034644298	0.00034496104	0.00034524043	0.0003486917	0.00034985485	0.0003464206	0.00035217285	0.00035222466	0.0003464166	0.0003487475	0.0003429336	0.00035573324	0.0003452137	0.00034618523	0.00034409302	0.00034408292	0.00034875644	0.0003429336	0.00035227454	0.00036039186	0.00035224238	0.00035797773	0.00034908205	0.000349895	0.00035105023	0.00034756554	0.00034875848	0.00034644353	0.0003475843	0.0003452471	0.00034873985	0.00034525202	0.00035335048	0.00035222975	0.0003475207	0.00034637228	0.29387304	0.0003487676	0.00034410149	0.00035233356	0.00034756112
0.0019849709	0.0020186636	0.002018942	0.002011563	0.0020253211	0.17809436	0.0019853343	0.00199184	0.0020258809	0.0020116377	0.001998778	0.002011674	0.0020856701	0.42874348	0.0020184196	0.0020118714	0.0019719657	0.001985317	0.0019719654	0.0019652366	0.0019852992	0.0019910685	0.0019718807	0.00199181	0.0019849874	0.0019786097	0.0019787122	0.0020328502	0.0019852214	0.0019853476	0.001976855	0.001978456	0.0019982343	0.0020048998	0.0019852193	0.0020181835	0.25926608	0.0019851965	0.001998554	0.0019652366	0.002038587	0.001978303	0.0019838705	0.0019718807	0.001971823	0.0019986052	0.0019652366	0.0020187662	0.002065284	0.0020185818	0.0020514494	0.002000471	0.00200513	0.0020117501	0.0019917805	0.0019986168	0.0019853506	0.0019918883	0.0019784945	0.0019985102	0.0019785226	0.002024932	0.0020185097	0.0019915237	0.0019849425	0.002000125	0.001998669	0.0019719293	0.0020191045	0.001991755
0.0005544037	0.00056381413	0.0005638919	0.0005618309	0.0005656735	0.00055633904	0.0005545052	0.0005563223	0.00056582986	0.0005618518	0.0005582601	0.0005618619	0.0005825291	0.00055073143	0.0005637459	0.000561917	0.0005507713	0.00055450044	0.00055077125	0.0005488919	0.0005544954	0.961488	0.0005507476	0.0005563139	0.0005544083	0.000552627	0.00055265566	0.00056777644	0.00055447366	0.00055450894	0.000552137	0.0005525841	0.0005581082	0.00055996986	0.0005544731	0.00056368	0.00056376297	0.0005544667	0.0005581975	0.0005488919	0.00056937867	0.00055254134	0.00055409636	0.0005507476	0.00055073143	0.00055821176	0.0005488919	0.00056384277	0.0005768352	0.00056379125	0.0005729712	0.00055873295	0.0005600342	0.00056188315	0.00055630563	0.0005582151	0.00055450975	0.0005563357	0.00055259484	0.0005581852	0.0005526027	0.0005655649	0.0005637711	0.00055623386	0.0005543957	0.0005586362	0.0005582296	0.0005507612	0.00056393724	0.0005562986
0.002782819	0.0028300544	0.0028304448	0.0028200997	0.0028393879	0.0027925337	0.0027833288	0.0027924492	0.0028401727	0.0028202045	0.0028021762	0.0028202555	0.002923994	0.0027643864	0.0028297123	0.0028205323	0.0027645864	0.0027833045	0.0027645861	0.0027551528	0.0027832794	0.0027913677	0.0027644676	0.0027924073	0.0027828424	0.002773901	0.0027740449	0.17574076	0.0027831704	0.0027833474	0.0027714414	0.0027736858	0.0028014136	0.0028107585	0.0027831674	0.0028293815	0.0028297978	0.0027831355	0.002801862	0.0027551528	0.002857986	0.0027734712	0.0027812764	0.0027644676	0.0027643864	0.0028019338	0.0027551528	0.0028301985	0.0028954137	0.0028299398	0.0028760182	0.0028045499	0.0028110812	0.002820362	0.002792366	0.00280195	0.6337909	0.002792517	0.0027737396	0.0028018004	0.002773779	0.0028388426	0.0028298388	0.0027920057	0.0027827793	0.0028040642	0.0028020234	0.0027645356	0.0028306728	0.0027923305
0.0046531563	0.004732139	0.004732792	0.0047154934	0.004747745	0.0046694004	0.004654009	0.0046692593	0.0047490573	0.004715669	0.0046855235	0.0047157537	0.0048892153	0.004622335	0.0047315666	0.0047162166	0.0046226694	0.0046539684	0.0046226694	0.0046068956	0.004653926	0.0046674507	0.004622471	0.004669189	0.0046531954	0.0046382444	0.004638485	0.67686355	0.004653744	0.0046540396	0.0046341317	0.004637885	0.0046842485	0.004699874	0.004653739	0.0047310134	0.0047317096	0.0046536853	0.004684998	0.0046068956	0.004778843	0.004637526	0.004650577	0.004622471	0.004622335	0.004685118	0.0046068956	0.0047323797	0.004841426	0.004731947	0.004808995	0.0046894923	0.0047004134	0.004715932	0.00466912	0.004685146	0.004654047	0.004669372	0.0046379743	0.0046848953	0.0046380404	0.0047468334	0.004731778	0.0046685175	0.0046530897	0.0046886806	0.004685268	0.0046225847	0.0047331727	0.0046690605
0.0034827667	0.003541883	0.0035423716	0.0035294243	0.003553564	0.0034949249	0.0034834046	0.0034948192	0.003554546	0.0035295556	0.0035069925	0.0035296192	0.0036594507	0.0034596976	0.0035414547	0.0035299656	0.003459948	0.0034833744	0.0034599479	0.0034481415	0.0034833427	0.0034934657	0.0034597993	0.0034947668	0.0034827958	0.0034716055	0.0034717855	0.0035667743	0.0034832065	0.0034834277	0.003468527	0.003471336	0.0035060383	0.0035177337	0.0034832025	0.0035410407	0.0035415615	0.0034831625	0.0035065995	0.0034481415	0.0035768398	0.0034710674	0.003480836	0.0034597993	0.0034596976	0.003506689	0.0034481415	0.003542063	0.0036236816	0.0035417397	0.0035994078	0.0035099632	0.0035181374	0.0035297528	0.0034947149	0.0035067098	0.003483433	0.0034949037	0.0034714034	0.0035065224	0.003471453	0.0035528815	0.003541613	0.75806826	0.0034827169	0.0035093557	0.0035068013	0.0034598843	0.0035426568	0.0034946704
0.00041990489	0.00042703233	0.00042709123	0.9708354	0.00042844063	0.00042137073	0.00041998178	0.000421358	0.00042855905	0.00042554605	0.0004228257	0.00042555374	0.00044120706	0.00041712352	0.0004269807	0.0004255955	0.00041715373	0.00041997814	0.0004171537	0.00041573026	0.00041997433	0.00042119483	0.00041713577	0.00042135167	0.00041990838	0.0004185592	0.00041858092	0.00043003337	0.00041995788	0.00041998457	0.00041818805	0.00041852673	0.00042271067	0.00042412072	0.00041995745	0.00042693075	0.00042699356	0.00041995262	0.0004227783	0.00041573026	0.00043124694	0.00041849434	0.0004196721	0.00041713577	0.00041712352	0.0004227891	0.00041573026	0.00042705404	0.00043689448	0.00042701504	0.00043396789	0.00042318387	0.0004241694	0.00042556983	0.00042134544	0.0004227916	0.00041998524	0.0004213682	0.00041853485	0.00042276902	0.00041854082	0.00042835838	0.00042699976	0.00042129107	0.00041989886	0.0004231106	0.00042280264	0.00041714605	0.0004271256	0.00042134005
0.00026137728	0.00026581387	0.00026585054	0.00026487888	0.0002666905	0.00026228972	0.00026142516	0.0002622818	0.9269917	0.00026488872	0.0002631954	0.0002648935	0.0002746372	0.00025964598	0.00026578174	0.0002649195	0.00025966475	0.0002614229	0.00025966475	0.00025877872	0.0002614205	0.00026218023	0.0002596536	0.00026227787	0.00026137946	0.00026053964	0.00026055315	0.00026768193	0.00026141029	0.00026142687	0.00026030862	0.00026051942	0.00026312377	0.0002640015	0.00026141	0.00026575066	0.00026578977	0.000261407	0.0002631659	0.00025877872	0.00026843735	0.00026049928	0.00026123237	0.0002596536	0.00025964598	0.0002631726	0.00025877872	0.0002658274	0.00027195277	0.055121925	0.00027013104	0.00026341833	0.0002640318	0.00026490353	0.00026227397	0.00026317418	0.00026142728	0.00026228814	0.00026052448	0.0002631601	0.00026052818	0.0002666393	0.0002657936	0.00026224012	0.00026137353	0.00026337273	0.00026318105	0.00025965998	0.00026587193	0.00026227062
0.0034827888	0.0035419054	0.0035423941	0.003529447	0.0035535865	0.003494947	0.0034834268	0.0034948413	0.0035545686	0.003529578	0.0035070148	0.0035296418	0.003659474	0.0034597197	0.0035414773	0.0035299882	0.00345997	0.0034833965	0.0034599698	0.0034481636	0.0034833648	0.0034934878	0.0034598215	0.003494789	0.003482818	0.0034716276	0.0034718076	0.003566797	0.0034832286	0.0034834498	0.003468549	0.0034713582	0.50655395	0.003517756	0.003483225	0.003541063	0.0035415841	0.0034831848	0.0035066218	0.0034481636	0.0035768626	0.0034710895	0.0034808582	0.0034598215	0.0034597197	0.0035067115	0.0034481636	0.0035420856	0.0036237047	0.0035417622	0.0035994307	0.0035099855	0.0035181597	0.0035297752	0.0034947372	0.003506732	0.0034834554	0.003494926	0.254996	0.0035065445	0.0034714749	0.0035529041	0.0035416353	0.0034942862	0.003482739	0.0035093778	0.0035068237	0.0034599064	0.0035426791	0.0034946927
